"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1565","should load the direct request page for europages in ITALIAN (it)","Regression: europages.fr Direct Request Page - Language Variants","2026-06-13","broken","2026-06-13","","","",""
"","1040","should load the RFQ landing page for wlw in ENGLISH (en)","Regression: wlw.de RFQ Landing Page - Language Variants","2026-06-13","passed","2026-06-13","","","",""
"","4870","should open sorting options","Smoke: wlw.de (Germany B2B) AI Company Search","2026-06-13","passed","2026-06-13","","Primary Language: German (de)","",""
"","1024","should display header, hero, and footer","Smoke: wlw.de (Germany B2B) RFQ Landing Page","2026-06-13","passed","2026-06-13","","","",""
"","2024","should load showroom URL and display breadcrumbs","Regression: wlw - Showroom","2026-06-13","passed","2026-06-13","","","",""
"","2011","should load homepage on Spain (https://www.europages-staging.es)","Regression: europages Homepage domain smoke","2026-06-13","passed","2026-06-13","","","",""
"","8339","should have all about-me fields enabled","Regression: wlw-staging.de My Account Page","2026-06-13","failed","2026-06-13","","","",""
"","10127","should navigate to product detail page when clicking product card","Regression: wlw.de (Germany B2B) Product Search Recommendations (Zero/Few Results)","2026-06-13","passed","2026-06-13","","Module 1: Product recommendations","",""
"","2663","should load wlw conversations page after login","Smoke: wlw.de (Germany B2B) Conversations Page","2026-06-13","passed","2026-06-13","","","",""
"","1647","should display pagination","Smoke: europages.com (European B2B) Product Search","2026-06-13","passed","2026-06-13","","Primary Language: French (fr)","",""
"","3686","should display 4 product images in sponsored brand card","Regression: europages - Product Search Sponsored Brand","2026-06-13","failed","2026-06-13","","","",""
"","2495","should display major homepage sections when available","Regression: wlw - Homepage","2026-06-13","passed","2026-06-13","","","",""
"","4734","should load AI company search page in English","Smoke: europages.co.uk (European B2B) AI Company Search","2026-06-13","passed","2026-06-13","","Primary Language: English (en)","",""
"","1858","should load homepage on United Kingdom (https://www.europages-staging.co.uk)","Regression: europages Homepage domain smoke","2026-06-13","passed","2026-06-13","","","",""
"","4450","should display required company card basic elements","Regression: europages.co.uk (European B2B) AI Company Search","2026-06-13","passed","2026-06-13","","Company cards","",""
"","2090","should load homepage on France (https://www.europages-staging.fr)","Regression: europages Homepage domain smoke","2026-06-13","passed","2026-06-13","","","",""
"","4677","should display and open sorting options","Regression: europages.com (European B2B) Product Search Filters","2026-06-13","passed","2026-06-13","","","",""
"","2042","should load homepage on Italy (https://www.europages-staging.it)","Regression: europages Homepage domain smoke","2026-06-13","passed","2026-06-13","","","",""
"","5120","should load europages company search page in French","Smoke: europages.com (European B2B) Company Search","2026-06-13","passed","2026-06-13","","Primary Language: French (fr)","",""
"","8504","should switch between Product and Company search tabs","Smoke: wlw.de (Germany B2B) Product Search","2026-06-13","passed","2026-06-13","","Primary Language: German (de)","",""
"","7615","should run a new search from the header search form","Regression: europages.co.uk (European B2B) AI Company Search","2026-06-13","passed","2026-06-13","","SERP interactions","",""
"","777","should load the RFQ landing page for europages in SPANISH (es)","Regression: europages.fr RFQ Landing Page - Language Variants","2026-06-13","passed","2026-06-13","","","",""
"","1684","should load showroom on Poland (https://www.europages-staging.pl)","Regression: europages Showroom domain smoke","2026-06-13","passed","2026-06-13","","","",""
"","9943","should search for companies in French","Smoke: europages.com (European B2B) Company Search","2026-06-13","passed","2026-06-13","","Primary Language: French (fr)","",""
