"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 09 11:48:50 UTC 2026","Tue Jun 09 11:48:50 UTC 2026","29","API Coverage - Arise + Bamboo + Dolphin","Arise-Technical","com.testcase.arise.seo.api.tmb.SEOElementsAPITest","com.testcase.arise.seo.api.tmb.SEOElementsAPITest","skwd","skwd",""
"passed","Tue Jun 09 11:48:50 UTC 2026","Tue Jun 09 11:48:50 UTC 2026","227","API Coverage - Arise + Bamboo + Dolphin","Arise-Technical","com.testcase.arise.seo.api.tmb.SEOElementsAPITest","com.testcase.arise.seo.api.tmb.SEOElementsAPITest","psearchProxySearch","psearchProxySearch",""
"passed","Tue Jun 09 11:48:50 UTC 2026","Tue Jun 09 11:48:50 UTC 2026","24","API Coverage - Arise + Bamboo + Dolphin","Arise-Technical","com.testcase.arise.seo.api.tmb.SEOElementsAPITest","com.testcase.arise.seo.api.tmb.SEOElementsAPITest","skwdAll","skwdAll",""
"passed","Tue Jun 09 11:48:50 UTC 2026","Tue Jun 09 11:48:50 UTC 2026","27","API Coverage - Arise + Bamboo + Dolphin","Arise-Technical","com.testcase.arise.seo.api.tmb.SEOElementsAPITest","com.testcase.arise.seo.api.tmb.SEOElementsAPITest","pageElementsGet","pageElementsGet",""
"passed","Tue Jun 09 11:48:50 UTC 2026","Tue Jun 09 11:48:50 UTC 2026","28","API Coverage - Arise + Bamboo + Dolphin","Arise-Technical","com.testcase.arise.seo.api.tmb.SEOElementsAPITest","com.testcase.arise.seo.api.tmb.SEOElementsAPITest","getAllElementsByUrlTest","getAllElementsByUrlTest",""
"broken","Tue Jun 09 11:48:51 UTC 2026","Tue Jun 09 11:48:52 UTC 2026","518","API Coverage - Arise + Bamboo + Dolphin","Bamboo-Technical","com.testcase.dolphin.cpvProduct.CpvTest","com.testcase.dolphin.cpvProduct.CpvTest","leafCategoryPredictTest","leafCategoryPredict",""
"failed","Tue Jun 09 11:48:52 UTC 2026","Tue Jun 09 11:48:52 UTC 2026","13","API Coverage - Arise + Bamboo + Dolphin","Bamboo-Technical","com.testcase.dolphin.cpvProduct.CpvTest","com.testcase.dolphin.cpvProduct.CpvTest","listSubCategoriesTest","list sub Categories",""
"broken","Tue Jun 09 11:48:51 UTC 2026","Tue Jun 09 11:48:51 UTC 2026","12","API Coverage - Arise + Bamboo + Dolphin","Bamboo-Technical","com.testcase.dolphin.cpvProduct.CpvTest","com.testcase.dolphin.cpvProduct.CpvTest","findCategoryByIdTest","findCategoryById",""
"passed","Tue Jun 09 11:48:52 UTC 2026","Tue Jun 09 11:48:52 UTC 2026","18","API Coverage - Arise + Bamboo + Dolphin","Bamboo-Technical","com.testcase.dolphin.cpvProduct.CpvTest","com.testcase.dolphin.cpvProduct.CpvTest","listTopCategoriesTest","list top Categories",""
"passed","Tue Jun 09 11:48:52 UTC 2026","Tue Jun 09 11:48:52 UTC 2026","21","API Coverage - Arise + Bamboo + Dolphin","Bamboo-Technical","com.testcase.dolphin.cpvProduct.CpvTest","com.testcase.dolphin.cpvProduct.CpvTest","searchCategoryByNameTest","searchCategoryByName",""
