"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1588","should load showroom on United Kingdom (https://www.europages-staging.co.uk)","regression","2026-06-23","passed","2026-06-23","domain-smoke","showroom","",""
"","7961","should display core elements on the first company card","regression","2026-06-23","passed","2026-06-23","ai-company-search-regression","company-search","",""
"","1539","should display the page and supplier data","critical regression","2026-06-23","passed","2026-06-23","direct-request-e2e","requests","",""
"","2290","should load CPP URL with company profile path","regression","2026-06-23","passed","2026-06-23","ep-cpp-regression","cpp","",""
"","10474","should sign in successfully with valid supplier (free listing) credentials","smoke","2026-06-23","failed","2026-06-23","","wlw-login-smoke","",""
"","1288","should display header, hero, and footer","critical regression","2026-06-23","passed","2026-06-23","direct-request-e2e","requests","",""
"","5580","should perform search in French","regression","2026-06-23","passed","2026-06-23","ep-multilang","product-search","",""
"","1435","should display related products","regression","2026-06-23","passed","2026-06-23","ep-pdp-regression","pdp","",""
"","1916","should display contact button","regression","2026-06-23","passed","2026-06-23","ep-cpp-regression","cpp","",""
"","2154","should display product cards","regression","2026-06-23","passed","2026-06-23","ep-cpv-regression","cpv","",""
"","1533","should show the breadcrumb with supplier name","critical regression","2026-06-23","passed","2026-06-23","direct-request-e2e","requests","",""
"","7851","should display the Request Hub banner","regression","2026-06-23","passed","2026-06-23","ep-business-insights-regression","my-account","",""
"","2447","should load CSERP with breadcrumbs and company results","smoke","2026-06-23","passed","2026-06-23","","cserp","",""
"","5652","should display core elements on the first company card","regression","2026-06-23","passed","2026-06-23","ai-company-search-regression","company-search","",""
"","6078","should display and open sorting options","regression","2026-06-23","broken","2026-06-23","filters-regression","company-search","",""
"","13799","should display pagination","smoke","2026-06-23","failed","2026-06-23","","company-search-smoke","",""
"","6628","should navigate with arrow buttons (4 products per page)","regression","2026-06-23","passed","2026-06-23","recommendations-regression","product-search","",""
"","32535","should navigate away from CPV when clicking first product card","regression","2026-06-23","failed","2026-06-23","ep-cpv-regression","cpv","",""
"","934","should contain candidateRequestId in the URL","critical regression","2026-06-23","passed","2026-06-23","direct-request-e2e","requests","",""
"","959","should load the RFQ success page for europages in ITALIAN (it)","regression","2026-06-23","passed","2026-06-23","rfq-success-regression","requests","",""
"","3962","should open an RFQ detail view and allow the supplier to navigate back","smoke","2026-06-23","passed","2026-06-23","","request-hub-smoke","",""
"","6619","should have valid URLs for all navigation elements","regression","2026-06-23","passed","2026-06-23","ai-company-search-regression","company-search","",""
"","3739","should display breadcrumbs","smoke","2026-06-23","passed","2026-06-23","","company-search-smoke","",""
"","4837","should have maximum 5 products with Top Ranking label","regression","2026-06-23","passed","2026-06-23","product-top-ranking","product-search","",""
"","2499","should pass CR-08 on europages.co.uk showroom","regression","2026-06-23","passed","2026-06-23","cr-08-showroom-functional","showroom","",""
"","372","should not log any errors on the RFQ landing page","critical regression","2026-06-23","passed","2026-06-23","direct-request-e2e","requests","",""
"","2857","should display breadcrumbs","smoke","2026-06-23","passed","2026-06-23","","product-search-smoke","",""
"","4603","should display breadcrumbs","smoke","2026-06-23","passed","2026-06-23","","company-search-smoke","",""
"","1650","should display product cards with core structure","regression","2026-06-23","passed","2026-06-23","wlw-showroom-regression","showroom","",""
"","1883","should display breadcrumbs","smoke","2026-06-23","passed","2026-06-23","","product-search-smoke","",""
"","2540","should pass CR-09 on europages CPP","regression","2026-06-23","passed","2026-06-23","cr-09-cpp-functional","cpp","",""
"","5311","should display required company card basic elements","regression","2026-06-23","passed","2026-06-23","ai-company-search-regression","company-search","",""
"","20048","should apply audit filters individually and in combination","regression","2026-06-23","passed","2026-06-23","ai-company-search-regression","company-search","",""
"","2393","should load CPP with company name and contact button","smoke","2026-06-23","passed","2026-06-23","","cpp","",""
"","1320","should display about section","regression","2026-06-23","passed","2026-06-23","ep-pdp-regression","pdp","",""
"","2604","should pass CR-10 on europages PDP","regression","2026-06-23","passed","2026-06-23","cr-10-pdp-functional","pdp","",""
"","1875","should load the direct request page for wlw in ENGLISH (en)","regression","2026-06-23","passed","2026-06-23","direct-request-regression","requests","",""
"","1669","should open contact flow when clicking contact button","regression","2026-06-23","passed","2026-06-23","ep-pdp-regression","pdp","",""
"","6790","should display Your connections to buyers section","regression","2026-06-23","passed","2026-06-23","ep-business-insights-regression","my-account","",""
"","5604","should verify complete company card using page object method","regression","2026-06-23","passed","2026-06-23","cards-regression","company-search","",""
"","7116","should load France domain with company search","regression","2026-06-23","passed","2026-06-23","domain-smoke","company-search","",""
"","1221","should display pagination or quotes entry","regression","2026-06-23","passed","2026-06-23","ep-showroom-regression","showroom","",""
"","1193","should show the breadcrumb with supplier name","critical regression","2026-06-23","passed","2026-06-23","direct-request-e2e","requests","",""
"","1303","should not redirect authenticated user to login page on wlw","smoke","2026-06-23","passed","2026-06-23","","conversations-smoke","",""
"","4322","should display complete product card information","regression","2026-06-23","passed","2026-06-23","recommendations-regression","product-search","",""
"","11066","should load AI company search page in German","smoke","2026-06-23","passed","2026-06-23","","ai-company-search-smoke","",""
"","4054","should display ""Trending products"" widget","regression","2026-06-23","passed","2026-06-23","recommendations-regression","product-search","",""
"","4225","should open a conversation when the first card is clicked on europages","smoke","2026-06-23","passed","2026-06-23","","conversations-smoke","",""
"","12746","should display ""Verified suppliers in your locality"" widget","regression","2026-06-23","failed","2026-06-23","recommendations-regression","product-search","",""
"","31435","should create a new WLW company profile and verify it is published","regression","2026-06-23","passed","2026-06-23","wlw-company-creation-regression","supplier-onboarding","",""
"","2728","should navigate to product detail when clicking first portfolio product","regression","2026-06-23","passed","2026-06-23","ep-cpp-regression","cpp","",""
"","13293","should keep AI reasoning panel after a header search","regression","2026-06-23","passed","2026-06-23","ai-company-search-regression","company-search","",""
"","2065","should load PDP URL with product path","regression","2026-06-23","passed","2026-06-23","ep-pdp-regression","pdp","",""
"","17","should have wlw domains configured for company search testing","regression","2026-06-23","passed","2026-06-23","domain-smoke","company-search","",""
"","32506","should switch between Product and Company search tabs","smoke","2026-06-23","failed","2026-06-23","","product-search-smoke","",""
"","4146","should perform search in German","regression","2026-06-23","passed","2026-06-23","ep-multilang","product-search","",""
"","2559","should load CSERP with company results and contact buttons","smoke","2026-06-23","passed","2026-06-23","","cserp","",""
"","5609","should navigate to product SERP via products tab","regression","2026-06-23","passed","2026-06-23","ai-company-search-regression","company-search","",""
"","1669","should display contact button","regression","2026-06-23","passed","2026-06-23","wlw-cpp-regression","cpp","",""
"","1828","should show an error when an invalid file type is uploaded","critical regression","2026-06-23","passed","2026-06-23","direct-request-e2e","requests","",""
"","1369","should render the RFQ create page","critical regression","2026-06-23","passed","2026-06-23","direct-request-e2e","requests","",""
"","1719","should open contact flow when clicking contact button","regression","2026-06-23","passed","2026-06-23","wlw-pdp-regression","pdp","",""
"","2034","should load showroom on Switzerland (https://www.wlw-staging.ch)","regression","2026-06-23","passed","2026-06-23","domain-smoke","showroom","",""
"","1200","should display portfolio products","regression","2026-06-23","passed","2026-06-23","wlw-cpp-regression","cpp","",""
"","10137","should navigate to product detail page when clicking product card","regression","2026-06-23","passed","2026-06-23","recommendations-regression","product-search","",""
"","2137","should load showroom on Netherlands (https://www.europages-staging.nl)","regression","2026-06-23","passed","2026-06-23","domain-smoke","showroom","",""
"","8945","should navigate to product detail page when clicking product card","regression","2026-06-23","passed","2026-06-23","recommendations-regression","product-search","",""
"","2199","should load homepage with key page structure","regression","2026-06-23","passed","2026-06-23","wlw-homepage-regression","homepage","",""
"","9052","should display the correct first and last name","regression","2026-06-23","passed","2026-06-23","ep-my-account-regression","my-account","",""
