"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","170","should fire click_serp_companyCard on card hit area click","Analytics: Company Search (GA3)","2026-07-16","passed","2026-07-16","","company card tracking","",""
"","138","should fire companyName tracking when VerifiedLabel is clicked (bubbling)","Analytics: Product Search (GA3)","2026-07-16","passed","2026-07-16","","product card tracking","",""
"","178","should fire hitArea tracking when PriceAction empty area is clicked (bubbling)","Analytics: Product Search (GA3)","2026-07-16","passed","2026-07-16","","product card tracking","",""
"","224","should fire click tracking on contact button click","Analytics: Product Search (GA3)","2026-07-16","passed","2026-07-16","","product card tracking","",""
"","133","should fire companyName tracking when ResponseLabel is clicked (bubbling)","Analytics: Product Search (GA3)","2026-07-16","passed","2026-07-16","","product card tracking","",""
"","216","should fire click tracking on image prev-arrow click","Analytics: Product Search (GA3)","2026-07-16","passed","2026-07-16","","product card tracking","",""
"","1189","should fire show_productSerp_productCard on card impression","Analytics: Product Search (GA3)","2026-07-16","passed","2026-07-16","","product card tracking","",""
"","151","should fire click tracking on product description click","Analytics: Product Search (GA3)","2026-07-16","passed","2026-07-16","","product card tracking","",""
"","61","should fire show tracking on portfolio product impression","Analytics: Company Search (GA3)","2026-07-16","passed","2026-07-16","","company card tracking","",""
"","4555","should validate GA3 pageView on supplier registration landing page","Analytics: Supplier Onboarding (GA3)","2026-07-16","passed","2026-07-16","","Supplier registration landing UV (supplier_registration_landingpage)","",""
"","314","should fire click tracking on portfolio product name click","Analytics: Company Search (GA3)","2026-07-16","passed","2026-07-16","","company card tracking","",""
"","107","should fire companyName tracking on company header area click (bubbling)","Analytics: Product Search (GA3)","2026-07-16","passed","2026-07-16","","product card tracking","",""
"","117","should fire click tracking on minimum order quantity click","Analytics: Product Search (GA3)","2026-07-16","passed","2026-07-16","","product card tracking","",""
"","448","should fire click tracking on product card hit area click","Analytics: Product Search (GA3)","2026-07-16","passed","2026-07-16","","product card tracking","",""
"","120","should fire click tracking on product price click","Analytics: Product Search (GA3)","2026-07-16","passed","2026-07-16","","product card tracking","",""
"","239","should fire click tracking on contact button click","Analytics: Company Search (GA3)","2026-07-16","passed","2026-07-16","","company card tracking","",""
"","5717","should validate GA3 pageView on registration","Analytics: Supplier Login (GA3)","2026-07-16","passed","2026-07-16","","Registration page UV (registration)","",""
"","1947","should fire click_login_googleButton on Google button click","Analytics: Supplier Login (GA3)","2026-07-16","passed","2026-07-16","","Social Login buttons","",""
"","1355","should fire click_login_alibabaButton on Alibaba button click","Analytics: Supplier Login (GA3)","2026-07-16","passed","2026-07-16","","Social Login buttons","",""
"","2636","should validate GA3 pageView","Analytics: Showroom (GA3)","2026-07-16","passed","2026-07-16","","","",""
"","8120","should validate GA3 pageView","Analytics: Company Search (GA3)","2026-07-16","passed","2026-07-16","","page_view","",""
"","169","should fire click tracking on product image click","Analytics: Product Search (GA3)","2026-07-16","passed","2026-07-16","","product card tracking","",""
"","157","should fire click_serp_companyCard on company logo click","Analytics: Company Search (GA3)","2026-07-16","passed","2026-07-16","","company card tracking","",""
"","1889","should fire click_serp_maplayover_showContactForm on map overlay contact button click","Analytics: Company Search (GA3)","2026-07-16","passed","2026-07-16","","company card tracking","",""
"","2485","should validate GA3 pageView on signIn","Analytics: Supplier Login (GA3)","2026-07-16","passed","2026-07-16","","Sign-in UV (signIn)","",""
"","150","should fire click tracking on portfolio button click","Analytics: Company Search (GA3)","2026-07-16","passed","2026-07-16","","company card tracking","",""
"","43","should fire show tracking on sponsored brand contact button impression","Analytics: Company Search (GA3)","2026-07-16","passed","2026-07-16","","sponsored brand tracking","",""
"","458","should fire click tracking on portfolio product click","Analytics: Company Search (GA3)","2026-07-16","passed","2026-07-16","","company card tracking","",""
"","188","should fire show_productSerp_sponsoredBrand on sponsored brand impression","Analytics: Product Search (GA3)","2026-07-16","passed","2026-07-16","","sponsored brand tracking","",""
"","27642","should fire show_contactForm → click_contact_page_message_send → messageTransaction_sent → show_directRequest_successPopup through the CPP sticky panel federated widget","Analytics: CPP – Direct Request Widget / QDR modal (GA3)","2026-07-16","passed","2026-07-16","","","",""
"","156","should fire productImage tracking when SponsoredLabel is clicked (bubbling)","Analytics: Product Search (GA3)","2026-07-16","passed","2026-07-16","","product card tracking","",""
"","17159","should fire show_contactForm → click_contact_page_message_send → messageTransaction_sent → show_directRequest_successPopup through the federated widget","Analytics: Direct Request Widget / QDR modal (GA3)","2026-07-16","passed","2026-07-16","","","",""
"","58","should fire show tracking on contact button impression","Analytics: Company Search (GA3)","2026-07-16","passed","2026-07-16","","company card tracking","",""
"","24572","should fire show_contactForm → click_contact_page_message_send → messageTransaction_sent → show_directRequest_successPopup through the showroom product card federated widget","Analytics: Showroom – Direct Request Widget / QDR modal (GA3)","2026-07-16","passed","2026-07-16","","","",""
"","5697","should validate GA3 pageView","Analytics: Product Search (GA3)","2026-07-16","passed","2026-07-16","","page_view","",""
"","722","should fire show tracking on sponsored brand contact button impression","Analytics: Product Search (GA3)","2026-07-16","passed","2026-07-16","","sponsored brand tracking","",""
"","236","should fire click_serp_sponsoredBrand_showContactForm on contact button click","Analytics: Company Search (GA3)","2026-07-16","passed","2026-07-16","","sponsored brand tracking","",""
"","39","should fire show tracking on portfolio button impression","Analytics: Company Search (GA3)","2026-07-16","passed","2026-07-16","","company card tracking","",""
