"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 09 11:05:47 UTC 2026","Tue Jun 09 11:05:47 UTC 2026","20","API Coverage - Arise + Bamboo + Dolphin","Bamboo-Technical","com.testcase.dolphin.cpvProduct.CpvTest","com.testcase.dolphin.cpvProduct.CpvTest","searchCategoryByNameTest","searchCategoryByName",""
"passed","Tue Jun 09 11:05:45 UTC 2026","Tue Jun 09 11:05:45 UTC 2026","23","API Coverage - Arise + Bamboo + Dolphin","Arise-Technical","com.testcase.arise.seo.api.tmb.SEOElementsAPITest","com.testcase.arise.seo.api.tmb.SEOElementsAPITest","skwdAll","skwdAll",""
"passed","Tue Jun 09 11:05:45 UTC 2026","Tue Jun 09 11:05:45 UTC 2026","246","API Coverage - Arise + Bamboo + Dolphin","Arise-Technical","com.testcase.arise.seo.api.tmb.SEOElementsAPITest","com.testcase.arise.seo.api.tmb.SEOElementsAPITest","psearchProxySearch","psearchProxySearch",""
"broken","Tue Jun 09 11:05:46 UTC 2026","Tue Jun 09 11:05:47 UTC 2026","536","API Coverage - Arise + Bamboo + Dolphin","Bamboo-Technical","com.testcase.dolphin.cpvProduct.CpvTest","com.testcase.dolphin.cpvProduct.CpvTest","leafCategoryPredictTest","leafCategoryPredict",""
"broken","Tue Jun 09 11:05:46 UTC 2026","Tue Jun 09 11:05:46 UTC 2026","11","API Coverage - Arise + Bamboo + Dolphin","Bamboo-Technical","com.testcase.dolphin.cpvProduct.CpvTest","com.testcase.dolphin.cpvProduct.CpvTest","findCategoryByIdTest","findCategoryById",""
"failed","Tue Jun 09 11:05:47 UTC 2026","Tue Jun 09 11:05:47 UTC 2026","14","API Coverage - Arise + Bamboo + Dolphin","Bamboo-Technical","com.testcase.dolphin.cpvProduct.CpvTest","com.testcase.dolphin.cpvProduct.CpvTest","listSubCategoriesTest","list sub Categories",""
"passed","Tue Jun 09 11:05:45 UTC 2026","Tue Jun 09 11:05:45 UTC 2026","40","API Coverage - Arise + Bamboo + Dolphin","Arise-Technical","com.testcase.arise.seo.api.tmb.SEOElementsAPITest","com.testcase.arise.seo.api.tmb.SEOElementsAPITest","getAllElementsByUrlTest","getAllElementsByUrlTest",""
"passed","Tue Jun 09 11:05:45 UTC 2026","Tue Jun 09 11:05:45 UTC 2026","37","API Coverage - Arise + Bamboo + Dolphin","Arise-Technical","com.testcase.arise.seo.api.tmb.SEOElementsAPITest","com.testcase.arise.seo.api.tmb.SEOElementsAPITest","pageElementsGet","pageElementsGet",""
"passed","Tue Jun 09 11:05:45 UTC 2026","Tue Jun 09 11:05:45 UTC 2026","29","API Coverage - Arise + Bamboo + Dolphin","Arise-Technical","com.testcase.arise.seo.api.tmb.SEOElementsAPITest","com.testcase.arise.seo.api.tmb.SEOElementsAPITest","skwd","skwd",""
"passed","Tue Jun 09 11:05:47 UTC 2026","Tue Jun 09 11:05:47 UTC 2026","15","API Coverage - Arise + Bamboo + Dolphin","Bamboo-Technical","com.testcase.dolphin.cpvProduct.CpvTest","com.testcase.dolphin.cpvProduct.CpvTest","listTopCategoriesTest","list top Categories",""
