"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 09 10:53:26 UTC 2026","Tue Jun 09 10:53:26 UTC 2026","21","API Coverage - Arise + Bamboo + Dolphin","Bamboo-Technical","com.testcase.dolphin.cpvProduct.CpvTest","com.testcase.dolphin.cpvProduct.CpvTest","searchCategoryByNameTest","searchCategoryByName",""
"passed","Tue Jun 09 10:53:24 UTC 2026","Tue Jun 09 10:53:24 UTC 2026","50","API Coverage - Arise + Bamboo + Dolphin","Arise-Technical","com.testcase.arise.seo.api.tmb.SEOElementsAPITest","com.testcase.arise.seo.api.tmb.SEOElementsAPITest","getAllElementsByUrlTest","getAllElementsByUrlTest",""
"failed","Tue Jun 09 10:53:26 UTC 2026","Tue Jun 09 10:53:26 UTC 2026","15","API Coverage - Arise + Bamboo + Dolphin","Bamboo-Technical","com.testcase.dolphin.cpvProduct.CpvTest","com.testcase.dolphin.cpvProduct.CpvTest","listSubCategoriesTest","list sub Categories",""
"broken","Tue Jun 09 10:53:26 UTC 2026","Tue Jun 09 10:53:26 UTC 2026","516","API Coverage - Arise + Bamboo + Dolphin","Bamboo-Technical","com.testcase.dolphin.cpvProduct.CpvTest","com.testcase.dolphin.cpvProduct.CpvTest","leafCategoryPredictTest","leafCategoryPredict",""
"passed","Tue Jun 09 10:53:25 UTC 2026","Tue Jun 09 10:53:25 UTC 2026","51","API Coverage - Arise + Bamboo + Dolphin","Arise-Technical","com.testcase.arise.seo.api.tmb.SEOElementsAPITest","com.testcase.arise.seo.api.tmb.SEOElementsAPITest","skwd","skwd",""
"passed","Tue Jun 09 10:53:26 UTC 2026","Tue Jun 09 10:53:26 UTC 2026","15","API Coverage - Arise + Bamboo + Dolphin","Bamboo-Technical","com.testcase.dolphin.cpvProduct.CpvTest","com.testcase.dolphin.cpvProduct.CpvTest","listTopCategoriesTest","list top Categories",""
"passed","Tue Jun 09 10:53:25 UTC 2026","Tue Jun 09 10:53:25 UTC 2026","227","API Coverage - Arise + Bamboo + Dolphin","Arise-Technical","com.testcase.arise.seo.api.tmb.SEOElementsAPITest","com.testcase.arise.seo.api.tmb.SEOElementsAPITest","psearchProxySearch","psearchProxySearch",""
"passed","Tue Jun 09 10:53:24 UTC 2026","Tue Jun 09 10:53:25 UTC 2026","24","API Coverage - Arise + Bamboo + Dolphin","Arise-Technical","com.testcase.arise.seo.api.tmb.SEOElementsAPITest","com.testcase.arise.seo.api.tmb.SEOElementsAPITest","pageElementsGet","pageElementsGet",""
"passed","Tue Jun 09 10:53:25 UTC 2026","Tue Jun 09 10:53:25 UTC 2026","22","API Coverage - Arise + Bamboo + Dolphin","Arise-Technical","com.testcase.arise.seo.api.tmb.SEOElementsAPITest","com.testcase.arise.seo.api.tmb.SEOElementsAPITest","skwdAll","skwdAll",""
"broken","Tue Jun 09 10:53:26 UTC 2026","Tue Jun 09 10:53:26 UTC 2026","12","API Coverage - Arise + Bamboo + Dolphin","Bamboo-Technical","com.testcase.dolphin.cpvProduct.CpvTest","com.testcase.dolphin.cpvProduct.CpvTest","findCategoryByIdTest","findCategoryById",""
