"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","956","should display the success page and supplier data","critical regression","2026-09-08","passed","2026-09-08","direct-request-e2e","requests","",""
"","7605","should display Language section with English selected","regression","2026-09-08","passed","2026-09-08","ep-my-account-regression","my-account","",""
"","1650","should show the breadcrumb with supplier name","critical regression","2026-09-08","passed","2026-09-08","direct-request-e2e","requests","",""
"","2665","should display required product card basic elements","regression","2026-09-08","passed","2026-09-08","ai-product-search-regression","product-search","",""
"","2129","should pass CR-08 on europages.co.uk showroom","regression","2026-09-08","passed","2026-09-08","cr-08-showroom-functional","showroom","",""
"","6291","should load the direct request page for wlw in GERMAN (de)","regression","2026-09-08","passed","2026-09-08","direct-request-regression","requests","",""
"","3494","should load CPV with breadcrumbs and product cards","smoke","2026-09-08","passed","2026-09-08","","cpv","",""
"","2603","should load CSERP URL and display breadcrumbs","regression","2026-09-08","passed","2026-09-08","wlw-cserp-regression","cserp","",""
"","1671","should load homepage on Germany (https://www.wlw-staging.de)","regression","2026-09-08","passed","2026-09-08","domain-smoke","homepage","",""
"","30573","should bulk edit keywords for existing products","regression","2026-09-08","broken","2026-09-08","bulk-edit-listing","product-editor","",""
"","24150","should create and publish a product with all required fields","smoke","2026-09-08","passed","2026-09-08","","product-editor","",""
"","10179","should display Inside Business section title","regression","2026-09-08","failed","2026-09-08","ep-homepage-regression","homepage","",""
"","4469","should navigate to product SERP via products tab","regression","2026-09-08","passed","2026-09-08","ai-company-search-regression","company-search","",""
"","2063","should display pagination","regression","2026-09-08","passed","2026-09-08","ep-cpv-regression","cpv","",""
"","3979","should display breadcrumbs","regression","2026-09-08","passed","2026-09-08","ai-company-search-regression","company-search","",""
"","2015","should pass CR-05 SEO dynamic elements and functional validation","regression","2026-09-08","passed","2026-09-08","cr-05-wlw-homepage-functional","homepage","",""
"","12259","should bulk edit MOQ for online products","regression","2026-09-08","passed","2026-09-08","bulk-edit-online-listing","product-editor","",""
"","10297","should load the RFQ landing page for europages in FRENCH (fr)","regression","2026-09-08","failed","2026-09-08","rfq-landing-regression","requests","",""
"","3379","should run AI reasoning panel cycle when available","regression","2026-09-08","passed","2026-09-08","ai-product-search-regression","product-search","",""
"","3165","should display filter options in English","smoke","2026-09-08","passed","2026-09-08","","ai-company-search-smoke","",""
"","4499","should display breadcrumbs","regression","2026-09-08","passed","2026-09-08","ai-company-search-regression","company-search","",""
"","1385","should load the RFQ success page for europages in FRENCH (fr)","regression","2026-09-08","passed","2026-09-08","rfq-success-regression","requests","",""
"","3933","should navigate from home to /conversations via the messages icon on europages","smoke","2026-09-08","passed","2026-09-08","","conversations-smoke","",""
"","4540","should run AI reasoning panel cycle when available","regression","2026-09-08","passed","2026-09-08","ai-company-search-regression","company-search","",""
"","10743","should allow uploading a valid file and then remove it","critical regression","2026-09-08","failed","2026-09-08","direct-request-e2e","requests","",""
"","2441","should load CPV with breadcrumbs and product cards","smoke","2026-09-08","passed","2026-09-08","","cpv","",""
"","9749","should check each product checkbox individually then bulk put online and verify all rows","regression","2026-09-08","passed","2026-09-08","draft-online-offline-cycle","product-editor","",""
"","1023","should open contact flow when clicking contact button","regression","2026-09-08","passed","2026-09-08","ep-pdp-regression","pdp","",""
"","11072","should display the correct page heading and user name","regression","2026-09-08","passed","2026-09-08","wlw-my-account-regression","my-account","",""
"","9775","should pass CR-09 on wlw CPP","regression","2026-09-08","failed","2026-09-08","cr-09-cpp-functional","cpp","",""
"","1353","should load the success page for europages in FRENCH (fr)","regression","2026-09-08","passed","2026-09-08","direct-request-success-regression","requests","",""
"","23674","RFQAI-MOB-P0-012: AI-generated description is non-empty and ready for submission flow","critical regression","2026-09-08","failed","2026-09-08","rfq-ai-ui-mobile","requests","",""
"","1822","should display the page and supplier data","critical regression","2026-09-08","passed","2026-09-08","direct-request-e2e","requests","",""
"","48998","should take an online product offline via the more-btn context menu","smoke","2026-09-08","passed","2026-09-08","","product-editor","",""
"","1859","should display filter or sorting controls","regression","2026-09-08","passed","2026-09-08","wlw-cserp-regression","cserp","",""
"","22963","RFQAI-MOB-P0-009: Rewrite refreshes the generated description","critical regression","2026-09-08","failed","2026-09-08","rfq-ai-ui-mobile","requests","",""
"","1263","should display contact button","regression","2026-09-08","passed","2026-09-08","ep-cpp-regression","cpp","",""
"","23427","should deactivate online product","regression","2026-09-08","passed","2026-09-08","online-to-offline","product-editor","",""
"","5140","should run AI reasoning panel touchpoint when available","smoke","2026-09-08","passed","2026-09-08","","ai-company-search-smoke","",""
"","4273","should display all filters and verify basic location interactions","regression","2026-09-08","passed","2026-09-08","ai-company-search-regression","company-search","",""
