"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8302","should display Language section","Regression: wlw-staging.de My Account Page","2026-06-12","failed","2026-06-12","","","",""
"","4546","should display ""Product recommendations"" widget","Regression: wlw.de (Germany B2B) Product Search Recommendations (Zero/Few Results)","2026-06-12","passed","2026-06-12","","Module 1: Product recommendations","",""
"","4229","should display multiple product cards in recommendations","Regression: wlw.de (Germany B2B) Product Search Recommendations (Zero/Few Results)","2026-06-12","passed","2026-06-12","","Module 3: Trending products","",""
"","1026","should load the RFQ create page for europages in ITALIAN (it)","Regression: europages.fr RFQ Create Page - Language Variants","2026-06-12","broken","2026-06-12","","","",""
"","9865","should load Germany domain with default language","Regression: europages.fr MAJOR DOMAINS Smoke Test","2026-06-12","failed","2026-06-12","","Domain: Germany (de)","",""
"","1565","should load showroom on Netherlands (https://www.europages-staging.nl)","Regression: europages Showroom domain smoke","2026-06-12","broken","2026-06-12","","","",""
"","1347","should load showroom URL and display breadcrumbs","Regression: europages - Showroom","2026-06-12","broken","2026-06-12","","","",""
"","1922","should load Poland domain with default language","Regression: europages.fr MAJOR DOMAINS Smoke Test","2026-06-12","passed","2026-06-12","","Domain: Poland (pl)","",""
"","1648","should display all filter options","Regression: europages.com (European B2B) Product Search Filters","2026-06-12","broken","2026-06-12","","","",""
"","8789","should load wlw product search page in German","Smoke: wlw.de (Germany B2B) Product Search","2026-06-12","passed","2026-06-12","","Primary Language: German (de)","",""
"","9690","should run a new search from the header search form","Regression: wlw.de (Germany B2B) AI Company Search","2026-06-12","passed","2026-06-12","","SERP interactions","",""
"","1684","should load page in German","Regression: europages - Multi-Language Product Search","2026-06-12","broken","2026-06-12","","Language: German (de)","",""
"","2657","should load wlw conversations page after login","Smoke: wlw.de (Germany B2B) Conversations Page","2026-06-12","passed","2026-06-12","","","",""
"","884","should display all filters and verify basic location interactions","Regression: europages.co.uk (European B2B) AI Company Search","2026-06-12","broken","2026-06-12","","Filters","",""
"","1658","should not redirect authenticated user to login page on wlw","Smoke: wlw.de (Germany B2B) Conversations Page","2026-06-12","passed","2026-06-12","","","",""
"","1594","should load the success page for wlw in GERMAN (de)","Regression: wlw.de Direct Request Success Page - Language Variants","2026-06-12","passed","2026-06-12","","","",""
"","1689","should load Switzerland domain with default language","Regression: wlw.de ALL DOMAINS Smoke Test","2026-06-12","broken","2026-06-12","","Domain: Switzerland (ch)","",""
"","1464","should display search results in English","Regression: europages - Multi-Language Product Search","2026-06-12","broken","2026-06-12","","Language: English (en)","",""
"","4556","should have maximum 5 companies with Top Ranking label","Regression: wlw - Company Search Top Ranking","2026-06-12","passed","2026-06-12","","","",""
