"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1828","should render the RFQ create page","smoke","2026-06-15","broken","2026-06-15","","requests-smoke","",""
"","7402","should load AI company search page in German","smoke","2026-06-15","passed","2026-06-15","","ai-company-search-smoke","",""
"","6253","should search for products in German","smoke","2026-06-15","passed","2026-06-15","","product-search-smoke","",""
"","1726","should load europages product search page in French","smoke","2026-06-15","passed","2026-06-15","","product-search-smoke","",""
"","3061","should load homepage with search bar and core structure","smoke","2026-06-15","passed","2026-06-15","","ep-homepage-smoke","",""
"","3614","should load wlw product search page in German","smoke","2026-06-15","passed","2026-06-15","","product-search-smoke","",""
"","11382","should sign in successfully with valid supplier (free listing) credentials","smoke","2026-06-15","passed","2026-06-15","","wlw-login-smoke","",""
"","5780","should switch between Product and Company search tabs","smoke","2026-06-15","passed","2026-06-15","","product-search-smoke","",""
"","2119","should load homepage with search bar and core structure","smoke","2026-06-15","passed","2026-06-15","","wlw-homepage-smoke","",""
"","8392","should load wlw conversations page after login","smoke","2026-06-15","passed","2026-06-15","","conversations-smoke","",""
"","22769","should search for companies in German","smoke","2026-06-15","failed","2026-06-15","","company-search-smoke","",""
"","1538","should display breadcrumbs","smoke","2026-06-15","passed","2026-06-15","","product-search-smoke","",""
"","1103","should display the success page and supplier data","smoke","2026-06-15","passed","2026-06-15","","requests-smoke","",""
"","4977","should load europages company search page in French","smoke","2026-06-15","passed","2026-06-15","","company-search-smoke","",""
"","4265","should navigate from home to /conversations via the messages icon on europages","smoke","2026-06-15","passed","2026-06-15","","conversations-smoke","",""
"","6523","should navigate from home to /conversations via the messages icon on wlw","smoke","2026-06-15","passed","2026-06-15","","conversations-smoke","",""
"","5473","should load wlw company search page in German","smoke","2026-06-15","passed","2026-06-15","","company-search-smoke","",""
"","4777","should display filter options in French","smoke","2026-06-15","passed","2026-06-15","","company-search-smoke","",""
"","4405","should run AI reasoning panel touchpoint when available","smoke","2026-06-15","passed","2026-06-15","","ai-company-search-smoke","",""
"","3756","should display breadcrumbs","smoke","2026-06-15","passed","2026-06-15","","company-search-smoke","",""
"","13551","should display pagination","smoke","2026-06-15","failed","2026-06-15","","company-search-smoke","",""
"","3846","should search for products in French","smoke","2026-06-15","passed","2026-06-15","","product-search-smoke","",""
"","1307","should display the breadcrumb with supplier name","smoke","2026-06-15","broken","2026-06-15","","requests-smoke","",""
"","2065","should display filter options in German","smoke","2026-06-15","passed","2026-06-15","","product-search-smoke","",""
"","4731","should display conversation header tabs on europages","smoke","2026-06-15","passed","2026-06-15","","conversations-smoke","",""
"","4094","should display filter options in English","smoke","2026-06-15","passed","2026-06-15","","ai-company-search-smoke","",""
"","2372","should load europages conversations page after login","smoke","2026-06-15","passed","2026-06-15","","conversations-smoke","",""
"","1735","should display pagination","smoke","2026-06-15","passed","2026-06-15","","product-search-smoke","",""
"","1893","should display pagination","smoke","2026-06-15","passed","2026-06-15","","product-search-smoke","",""
"","6272","should display conversation header tabs on wlw","smoke","2026-06-15","passed","2026-06-15","","conversations-smoke","",""
"","5009","should open an RFQ detail view and allow the supplier to navigate back","smoke","2026-06-15","passed","2026-06-15","","request-hub-smoke","",""
"","5004","should load the Request Hub page for an authenticated supplier","smoke","2026-06-15","passed","2026-06-15","","request-hub-smoke","",""
"","1834","should not redirect authenticated user to login page on wlw","smoke","2026-06-15","passed","2026-06-15","","conversations-smoke","",""
"","4583","should open sorting options","smoke","2026-06-15","passed","2026-06-15","","ai-company-search-smoke","",""
"","4117","should open sorting options","smoke","2026-06-15","passed","2026-06-15","","ai-company-search-smoke","",""
"","1459","should display filter options in French","smoke","2026-06-15","passed","2026-06-15","","product-search-smoke","",""
"","4841","should load AI company search page in English","smoke","2026-06-15","passed","2026-06-15","","ai-company-search-smoke","",""
"","1762","should display product image and name when product slug is provided","smoke","2026-06-15","broken","2026-06-15","","requests-smoke","",""
"","17987","should search for companies in French","smoke","2026-06-15","failed","2026-06-15","","company-search-smoke","",""
"","5464","should display filter options in German","smoke","2026-06-15","passed","2026-06-15","","company-search-smoke","",""
"","13198","should sign in successfully with valid supplier (paid customer) credentials","smoke","2026-06-15","passed","2026-06-15","","wlw-login-smoke","",""
"","1361","should not redirect authenticated user to login page on europages","smoke","2026-06-15","passed","2026-06-15","","conversations-smoke","",""
