"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jun 15 03:25:50 UTC 2026","Mon Jun 15 03:26:10 UTC 2026","20021","API Coverage - Arise + Bamboo + Dolphin","Dolphin-Technical","com.testcase.dolphin.searchRec.AICompanySearchTest","com.testcase.dolphin.searchRec.AICompanySearchTest","recallTopRankingScenarioTest","AI Search recall: wlw-staging.de cnc top-ranking scenario",""
"passed","Mon Jun 15 03:21:37 UTC 2026","Mon Jun 15 03:21:37 UTC 2026","224","API Coverage - Arise + Bamboo + Dolphin","Dolphin-Technical","com.testcase.dolphin.searchRec.ProductMainSearchTest","com.testcase.dolphin.searchRec.ProductMainSearchTest","productMainSearchNoResultTest","product main search without TR, return 0 result",""
"broken","Mon Jun 15 03:21:49 UTC 2026","Mon Jun 15 03:22:09 UTC 2026","20023","API Coverage - Arise + Bamboo + Dolphin","Dolphin-Technical","com.testcase.dolphin.searchRec.AICompanySearchTest","com.testcase.dolphin.searchRec.AICompanySearchTest","inferenceShortQueryTest","AI Search inference: minimal searchText boundary",""
"passed","Mon Jun 15 03:21:41 UTC 2026","Mon Jun 15 03:21:42 UTC 2026","293","API Coverage - Arise + Bamboo + Dolphin","Dolphin-Technical","com.testcase.dolphin.searchRec.CompanyMainSearchTest","com.testcase.dolphin.searchRec.CompanyMainSearchTest","epEnIntervention3dLenticularPrintingTest","epEnIntervention3dLenticularPrintingTest",""
"passed","Mon Jun 15 03:21:37 UTC 2026","Mon Jun 15 03:21:38 UTC 2026","327","API Coverage - Arise + Bamboo + Dolphin","Dolphin-Technical","com.testcase.dolphin.searchRec.ProductMainSearchTest","com.testcase.dolphin.searchRec.ProductMainSearchTest","productSearchCountTest","productSearchCountTest",""
"passed","Mon Jun 15 03:21:36 UTC 2026","Mon Jun 15 03:21:36 UTC 2026","214","API Coverage - Arise + Bamboo + Dolphin","Dolphin-Technical","com.testcase.dolphin.searchRec.ProductMainSearchTest","com.testcase.dolphin.searchRec.ProductMainSearchTest","epEsRewriteJalapenosTest","epEsRewriteJalapenosTest",""
"passed","Mon Jun 15 03:26:51 UTC 2026","Mon Jun 15 03:26:51 UTC 2026","343","API Coverage - Arise + Bamboo + Dolphin","Dolphin-Technical","com.testcase.dolphin.searchRec.ProductRecommendTest","com.testcase.dolphin.searchRec.ProductRecommendTest","getproductRecommendByQueryOnCserpTest","getproductRecommendByQueryOnCserpTest",""
"broken","Mon Jun 15 03:23:49 UTC 2026","Mon Jun 15 03:24:09 UTC 2026","20020","API Coverage - Arise + Bamboo + Dolphin","Dolphin-Technical","com.testcase.dolphin.searchRec.AICompanySearchTest","com.testcase.dolphin.searchRec.AICompanySearchTest","recallInvalidRlabSessionTest","AI Search recall: invalid rlabSessionId (negative / lenient)",""
"passed","Mon Jun 15 03:21:44 UTC 2026","Mon Jun 15 03:21:44 UTC 2026","10","API Coverage - Arise + Bamboo + Dolphin","Dolphin-Technical","com.testcase.dolphin.searchRec.CompanyMainSearchTest","com.testcase.dolphin.searchRec.CompanyMainSearchTest","getUserSearchHistoryTest","getUserSearchHistoryTest",""
"passed","Mon Jun 15 03:26:51 UTC 2026","Mon Jun 15 03:26:51 UTC 2026","35","API Coverage - Arise + Bamboo + Dolphin","Dolphin-Technical","com.testcase.dolphin.searchRec.ProductRecommendTest","com.testcase.dolphin.searchRec.ProductRecommendTest","getCategoryListWlwWithPreferredSuperCategoryIdsTest","v-recommend category list -- wlw, with preferredSuperCategoryIds",""
"passed","Mon Jun 15 03:26:51 UTC 2026","Mon Jun 15 03:26:51 UTC 2026","59","API Coverage - Arise + Bamboo + Dolphin","Dolphin-Technical","com.testcase.dolphin.searchRec.ProductRecommendTest","com.testcase.dolphin.searchRec.ProductRecommendTest","cppProductRecommendTest","recommend products in CPP -- wlw",""
"broken","Mon Jun 15 03:21:38 UTC 2026","Mon Jun 15 03:21:38 UTC 2026","56","API Coverage - Arise + Bamboo + Dolphin","Dolphin-Technical","com.testcase.dolphin.searchRec.ProductMainSearchTest","com.testcase.dolphin.searchRec.ProductMainSearchTest","sponsorBrandPreviewTest","sponsorBrandPreviewTest",""
"passed","Mon Jun 15 03:21:47 UTC 2026","Mon Jun 15 03:21:48 UTC 2026","676","API Coverage - Arise + Bamboo + Dolphin","Dolphin-Technical","com.testcase.dolphin.searchRec.CompanyMainSearchTest","com.testcase.dolphin.searchRec.CompanyMainSearchTest","wlwDeRewriteAdhaesionsbeutelTest","wlwDeRewriteAdhaesionsbeutelTest",""
"broken","Mon Jun 15 03:23:29 UTC 2026","Mon Jun 15 03:23:49 UTC 2026","20020","API Coverage - Arise + Bamboo + Dolphin","Dolphin-Technical","com.testcase.dolphin.searchRec.AICompanySearchTest","com.testcase.dolphin.searchRec.AICompanySearchTest","recallCountryFilterTest","AI Search recall: country filter DE",""
"passed","Mon Jun 15 03:21:48 UTC 2026","Mon Jun 15 03:21:48 UTC 2026","564","API Coverage - Arise + Bamboo + Dolphin","Dolphin-Technical","com.testcase.dolphin.searchRec.CompanyMainSearchTest","com.testcase.dolphin.searchRec.CompanyMainSearchTest","wlwEnInterventionAluminiumRecyclingTest","wlwEnInterventionAluminiumRecyclingTest",""
"passed","Mon Jun 15 03:21:43 UTC 2026","Mon Jun 15 03:21:44 UTC 2026","307","API Coverage - Arise + Bamboo + Dolphin","Dolphin-Technical","com.testcase.dolphin.searchRec.CompanyMainSearchTest","com.testcase.dolphin.searchRec.CompanyMainSearchTest","epFrRewriteEpinglTest","epFrRewriteEpinglTest",""
"passed","Mon Jun 15 03:21:35 UTC 2026","Mon Jun 15 03:21:36 UTC 2026","231","API Coverage - Arise + Bamboo + Dolphin","Dolphin-Technical","com.testcase.dolphin.searchRec.ProductMainSearchTest","com.testcase.dolphin.searchRec.ProductMainSearchTest","epEnInterventionAirbagsTest","epEnInterventionAirbagsTest",""
"passed","Mon Jun 15 03:21:35 UTC 2026","Mon Jun 15 03:21:35 UTC 2026","209","API Coverage - Arise + Bamboo + Dolphin","Dolphin-Technical","com.testcase.dolphin.searchRec.ProductMainSearchTest","com.testcase.dolphin.searchRec.ProductMainSearchTest","epDeRewriteAdressbuecherTest","epDeRewriteAdressbuecherTest",""
"passed","Mon Jun 15 03:21:44 UTC 2026","Mon Jun 15 03:21:44 UTC 2026","16","API Coverage - Arise + Bamboo + Dolphin","Dolphin-Technical","com.testcase.dolphin.searchRec.CompanyMainSearchTest","com.testcase.dolphin.searchRec.CompanyMainSearchTest","getTopCateGoryFromSearchTermTest","getTopCateGoryFromSearchTermTest",""
